asset.name,id,output
p030136,06979377-3999-4a62-9e5d-f1567ecfaf6f,"'
  Path              : C:\APL\oss\client\engineering\product_msuiteclient\plugin_NBI_Plugins_1.1.0.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\APL\oss\client\lib\3rd_tools\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0
"
p003944,13a831e1-1aaf-47bd-875a-7e6684c5ff9d,"'
  Path              : C:\TransNet-8.40.50\plugins\org.castor.1.1.0_1.0.0\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\TransNet-8.40.50\plugins\org.castor_5.0.7\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\TransNet-8.40.50\plugins\de.siemens.spt.core.system_6.10.1\lib\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\TransNet_A300_8_10_25_15_32\plugins\de.siemens.spt.core.system_6.10.1\lib\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\TransNet_A300_8_10_25_15_32\plugins\org.castor.1.1.0_1.0.0\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\TransNet_A300_8_10_25_15_32\plugins\org.castor_5.0.7\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\Transnet 7_2\plugins\de.siemens.spt.core.system_6.10.1\lib\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\Transnet 7_2\plugins\org.castor.1.1.0_1.0.0\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\Transnet 7_2\plugins\org.castor_5.0.7\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\Transnet 8V 10 25\plugins\de.siemens.spt.core.system_6.10.1\lib\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\Transnet 8V 10 25\plugins\org.castor.1.1.0_1.0.0\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\Transnet 8V 10 25\plugins\org.castor_5.0.7\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\Transnet 8\plugins\org.castor.1.1.0_1.0.0\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\Transnet 8\plugins\org.castor_5.0.7\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\Transnet 8\plugins\de.siemens.spt.core.system_6.10.1\lib\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\Transnet 8v10\plugins\org.castor.1.1.0_1.0.0\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\Transnet 8v10\plugins\org.castor_5.0.7\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\Transnet 8v10\plugins\de.siemens.spt.core.system_6.10.1\lib\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0
"
p030241,13bd1817-ba2f-41ec-80c7-72f9dd3dbcdf,"'
  Path              : C:\Users\c047618\Desktop\COPEL\Desktop anterior\Desktop_Rafael\Documentos\CursoJAVA\java-e-oo\jbdevstudio10\studio\plugins\org.jboss.tools.openshift.client_3.3.0.Final-v20160902-1639-B14.jar
  Installed version : 1.2.17
  Fixed version     : 2.16.0



  Path              : C:\Users\c047618\Desktop\COPEL\Desktop anterior\Desktop_Rafael\Documentos\CursoJAVA\java-e-oo\jbdevstudio10\studio\plugins\org.jboss.tools.openshift.express.client_3.3.0.v20160607-2011.jar
  Installed version : 1.2.17
  Fixed version     : 2.16.0



  Path              : C:\Users\c047618\Desktop\COPEL\Desktop anterior\Desktop_Rafael\Documentos\CursoJAVA\java-e-oo\jbdevstudio10\studio\plugins\org.jboss.tools.hibernate.runtime.v_3_5_5.1.1.v20160613-0605.jar
  Installed version : 1.2.15
  Fixed version     : 2.16.0



  Path              : C:\Users\c047618\Desktop\COPEL\Desktop anterior\Desktop_Rafael\Documentos\CursoJAVA\java-e-oo\jbdevstudio10\studio\plugins\org.jboss.tools.hibernate.runtime.v_3_6_5.1.1.v20160613-0605.jar
  Installed version : 1.2.15
  Fixed version     : 2.16.0



  Path              : C:\Users\c047618\Desktop\COPEL\Desktop anterior\Desktop_Rafael\Documentos\CursoJAVA\java-e-oo\jbdevstudio10\studio\plugins\org.jboss.tools.ws.wise.ui_1.9.1.v20160608-0648.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0
"
p030332,182731a1-b383-43a9-b13a-e3ad15c084e2,"'
  Path              : C:\APL\oss\client\engineering\product_msuiteclient\plugin_NBI_Plugins_1.1.0.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0
"
p030101,1942dded-b239-487b-9bbc-75e050e61b3f,"'
  Path              : C:\APL\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\APL\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : D:\SIGEP\sigepclient\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0
"
p009603,1a72ee00-fb3c-44ab-8432-eaf33df9a773,"'
  Path              : C:\APL\oss\client\engineering\product_msuiteclient\plugin_NBI_Plugins_1.1.0.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0
"
p000806,2707718c-086b-46fa-ad44-6f0fc7da0e87,"'
  Path              : C:\APL\_tmp\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\APL\_tmp\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\APL\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\APL\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\c022927\Desktop\Correio_Interno\RICARDO - Controle\SigepWeb_geral_backup\sigepclient\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\c022927\Desktop\Correio_Interno\RICARDO - Controle\SigepWeb_km_backup\SigepWEB\sigepclient\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\c022927\Desktop\Correio_Interno\SIGEP\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\c022927\Desktop\Correio_Interno\SIGEP\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\c022939\Desktop\Correio_Interno\RICARDO - Controle\SigepWeb_geral_backup\sigepclient\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\c022939\Desktop\Correio_Interno\RICARDO - Controle\SigepWeb_km_backup\SigepWEB\sigepclient\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\c022939\Desktop\Correio_Interno\SIGEP\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\c022939\Desktop\Correio_Interno\SIGEP\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\t313979\Desktop\Correio_Interno\RICARDO - Controle\SigepWeb_geral_backup\sigepclient\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\t313979\Desktop\Correio_Interno\RICARDO - Controle\SigepWeb_km_backup\SigepWEB\sigepclient\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\t327353\Desktop\Correio_Interno\RICARDO - Controle\SigepWeb_geral_backup\sigepclient\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\t327353\Desktop\Correio_Interno\RICARDO - Controle\SigepWeb_km_backup\SigepWEB\sigepclient\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\t327353\Desktop\Correio_Interno\SIGEP\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\t327353\Desktop\Correio_Interno\SIGEP\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0
"
p000767,2ad6bd0c-24d2-43e1-b8ed-52388f8d7561,"'
  Path              : C:\Users\c803569\jbdevstudio\studio\plugins\org.jboss.tools.hibernate.runtime.v_3_5_5.0.1.Final-v20160331-1852-B88.jar
  Installed version : 1.2.15
  Fixed version     : 2.16.0



  Path              : C:\Users\c803569\jbdevstudio\studio\plugins\org.jboss.tools.hibernate.runtime.v_3_6_5.0.1.Final-v20160331-1852-B88.jar
  Installed version : 1.2.15
  Fixed version     : 2.16.0



  Path              : C:\Users\c803569\jbdevstudio\studio\plugins\org.jboss.tools.openshift.client_3.1.0.Final-v20160414-0041-B272.jar
  Installed version : 1.2.17
  Fixed version     : 2.16.0



  Path              : C:\Users\c803569\jbdevstudio\studio\plugins\org.jboss.tools.openshift.express.client_3.1.0.Final-v20160414-0041-B272.jar
  Installed version : 1.2.17
  Fixed version     : 2.16.0



  Path              : C:\Users\c803569\jbdevstudio\studio\plugins\org.jboss.tools.ws.wise.ui_1.8.1.Final-v20160331-0952-B76.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0
"
p003082,2d926285-1a93-40e0-86f5-780a9026a6e8,"'
  Path              : C:\Users\c803523\Desktop\Sistemas\Jasper\Francys\jasperbpms.war
  Installed version : 1.2.11
  Fixed version     : 2.16.0



  Path              : D:\BACKUP\BACKUP\DevJava\files-bpms-0.9.jar
  Installed version : 1.2.11
  Fixed version     : 2.16.0



  Path              : D:\BACKUP\BACKUP\c803523\Areadetrabalho\Sistemas\Jasper\Francys\jasperbpms.war
  Installed version : 1.2.11
  Fixed version     : 2.16.0
"
p030164,3691eab4-3e2b-4799-a04c-7c90588c0c7d,"'
  Path              : C:\Users\c800967\Desktop\Curso Automa‡Æo SE\SASE\Executaveis\6.x.x.x\6.5.0.0\SDG\1.2.0\Editor\EditorSDG-1.4.2\lib\log4j-1.2.13.jar
  Installed version : 1.2.13
  Fixed version     : 2.16.0



  Path              : C:\Users\c800967\Documents\Backup Pend Drive Copel\Artur\U2000\client\engineering\product_msuiteclient\plugin_NBI_Plugins_1.1.0.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\Users\c800967\Documents\Backup Pend Drive Copel\Artur\U2000\client\lib\3rd_tools\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\F bia\SASE\Executaveis\6.x.x.x\6.5.0.0\SDG\1.2.0\Editor\EditorSDG-1.4.2\lib\log4j-1.2.13.jar
  Installed version : 1.2.13
  Fixed version     : 2.16.0
"
p030279,370929a7-09fb-4d39-8efc-94b200314e36,"'
  Path              : C:\APL\oss\client\engineering\product_msuiteclient\plugin_NBI_Plugins_1.1.0.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0
"
p030059,3a53e73d-6860-4d90-be4a-62f32f13ba25,"'
  Path              : C:\APL\oss\client\engineering\product_msuiteclient\plugin_NBI_Plugins_1.1.0.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0
"
p000005,40c00a78-d4e2-4054-8974-39dede09e230,"'
  Path              : C:\APL\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\APL\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0
"
p030067,4304f297-de52-476f-967b-55514af5f5aa,"'
  Path              : C:\APL\oss\client\engineering\product_msuiteclient\plugin_NBI_Plugins_1.1.0.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0
"
p030066,4dc8aa7c-04ba-4350-b247-b1bd6812619f,"'
  Path              : C:\Users\c802865\Desktop\U2000V1R9copel\oss\client\engineering\product_msuiteclient\plugin_NBI_Plugins_1.1.0.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\Users\c802865\Desktop\U2000V1R9copel\oss\client\lib\3rd_tools\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\U2000V1R9copel\oss\client\engineering\product_msuiteclient\plugin_NBI_Plugins_1.1.0.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\U2000V1R9copel\oss\client\lib\3rd_tools\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0
"
p003093,52fd2bce-47a2-40c6-a83f-cbd5313aeb70,"'
  Path              : D:\Desktop\DETL\sql\gra.ear
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\c045203\Desktop\DETL\sql\gra.ear
  Installed version : 1.2.14
  Fixed version     : 2.16.0
"
p030329,53788858-24d2-489f-9b9e-b7f34b36b97e,"'
  Path              : C:\Program Files (x86)\DmView\activemq\lib\optional\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Program Files (x86)\DmView\apacheds\lib\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\Program Files (x86)\DmView\lib\log4j-1.2.15.jar
  Installed version : 1.2.15
  Fixed version     : 2.16.0



  Path              : C:\Program Files (x86)\DmView\trapd\lib\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\Users\L042302\Downloads\activemq\lib\optional\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\L042302\Downloads\apacheds\lib\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\Users\L042302\Downloads\lib\log4j-1.2.15.jar
  Installed version : 1.2.15
  Fixed version     : 2.16.0



  Path              : C:\Users\L042302\Downloads\trapd\lib\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\Users\c042302\Documents\activemq\lib\optional\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\c042302\Documents\apacheds\lib\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\Users\c042302\Documents\lib\log4j-1.2.15.jar
  Installed version : 1.2.15
  Fixed version     : 2.16.0



  Path              : C:\Users\c042302\Documents\trapd\lib\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0
"
p000821,5a4e3b6d-6b53-47d7-bb8e-34a1cb2ba4f6,"'
  Path              : D:\COPEL\CTE\App\App\Pentaho\data-integration\plugins\kettle5-log4j-plugin\lib\log4j-1.2.17.jar
  Installed version : 1.2.17
  Fixed version     : 2.16.0



  Path              : D:\COPEL\Temp\Pentaho\data-integration\plugins\kettle5-log4j-plugin\lib\log4j-1.2.17.jar
  Installed version : 1.2.17
  Fixed version     : 2.16.0
"
